ID;PAIS;UF;CIDADE;RUA;CEP;LOCAL;CONSOLIDADO
7035214042;Brasil;SP;SP;Rua João Cachoeira;04535-003;Local não especificado;Rua João Cachoeira, Itaim Bibi, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 04535-003, Brasil
7035413068;Brasil;SP;SP;Avenida José Galante;05665-010;Local não especificado;Avenida José Galante, Jardim Parque Morumbi, Paraisópolis, Vila Andrade, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 05665-010, Brasil
7035468315;Brasil;SP;SP;Avenida José Galante;05665-010;Local não especificado;Avenida José Galante, Jardim Parque Morumbi, Paraisópolis, Vila Andrade, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 05665-010, Brasil
7035536297;Brasil;SP;SP;Rua José de Oliveira Coelho;05640-000;Local não especificado;Rua José de Oliveira Coelho, Jardim Parque Morumbi, Vila Andrade, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 05640-000, Brasil
7038817088;Brasil;SP;SP;Rua José de Oliveira Coelho;05640-000;Local não especificado;Rua José de Oliveira Coelho, Jardim Parque Morumbi, Vila Andrade, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 05640-000, Brasil
7038817225;Brasil;SP;SP;Rua José de Oliveira Coelho;05640-000;Local não especificado;Rua José de Oliveira Coelho, Jardim Parque Morumbi, Vila Andrade, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 05640-000, Brasil
7038817506;Brasil;SP;SP;Rua José de Oliveira Coelho;05640-000;Local não especificado;Rua José de Oliveira Coelho, Jardim Parque Morumbi, Vila Andrade, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 05640-000, Brasil
7038817605;Brasil;SP;SP;Rua José de Oliveira Coelho;05640-000;Local não especificado;Rua José de Oliveira Coelho, Jardim Parque Morumbi, Vila Andrade, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 05640-000, Brasil
7044269606;Brasil;SP;SP;Rua José de Oliveira Coelho;05640-000;Local não especificado;Rua José de Oliveira Coelho, Jardim Parque Morumbi, Vila Andrade, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 05640-000, Brasil
7044291553;Brasil;SP;SP;Rua José de Oliveira Coelho;05640-000;Local não especificado;Rua José de Oliveira Coelho, Jardim Parque Morumbi, Vila Andrade, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 05640-000, Brasil
7051687938;Brasil;SP;SP;Rua José de Oliveira Coelho;05640-000;Local não especificado;Rua José de Oliveira Coelho, Jardim Parque Morumbi, Vila Andrade, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 05640-000, Brasil
7051688046;Brasil;SP;SP;Rua José de Oliveira Coelho;05640-000;Local não especificado;Rua José de Oliveira Coelho, Jardim Parque Morumbi, Vila Andrade, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 05640-000, Brasil
7051688323;Brasil;SP;SP;Rua José de Oliveira Coelho;05640-000;Local não especificado;Rua José de Oliveira Coelho, Jardim Parque Morumbi, Vila Andrade, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 05640-000, Brasil
7051832690;Brasil;SP;SP;Rua Manoel Homem de Andrade;05724-005;Local não especificado;Rua Manoel Homem de Andrade, Jardim Parque Morumbi, Vila Andrade, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 05724-005, Brasil
7052390429;Brasil;SP;SP;Rua Itapaiúna;05707001;Local não especificado;1800, Rua Itapaiúna, Jardim Parque Morumbi, Vila Andrade, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 05707001, Brasil
7052511167;Brasil;SP;SP;Rua Francisco José da Silva;05640-000;Local não especificado;Rua Francisco José da Silva, Jardim Parque Morumbi, Vila Andrade, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 05640-000, Brasil
